com.samsung.shealth.tracker.heart_rate,6105031,3
tag_id,source,com.samsung.health.heart_rate.create_time,com.samsung.health.heart_rate.time_offset,com.samsung.health.heart_rate.max,com.samsung.health.heart_rate.heart_beat_count,com.samsung.health.heart_rate.custom,com.samsung.health.heart_rate.end_time,com.samsung.health.heart_rate.heart_rate,com.samsung.health.heart_rate.deviceuuid,com.samsung.health.heart_rate.start_time,com.samsung.health.heart_rate.pkg_name,com.samsung.health.heart_rate.update_time,com.samsung.health.heart_rate.min,com.samsung.health.heart_rate.binning_data,com.samsung.health.heart_rate.datauuid,com.samsung.health.heart_rate.comment
21313,,1594713599000,UTC+0900,91.0,1,,1594713599000,76.0,xUcHHNl7co,1594710000000,com.sec.android.app.shealth,1594713599000,65.0,6e6c2825-c9f0-7979-6d4e-7a5d9059a4ca.com.samsung.health.heart_rate.binning_data.json,6e6c2825-c9f0-7979-6d4e-7a5d9059a4ca,,
21301,,1594599145000,UTC+0900,94.0,1,,1594599145000,94.0,xUcHHNl7co,1594599145000,com.sec.android.app.shealth,1594599145000,94.0,,af006ca0-2f58-b19c-2fa9-9a0d41f657c8,,
21301,,1594522854000,UTC+0900,79.0,1,,1594522854000,79.0,xUcHHNl7co,1594522854000,com.sec.android.app.shealth,1594522854000,79.0,,fdebd40d-dd6f-b3a8-dd38-c3b5fecf792c,,
21301,,1594604974000,UTC+0900,86.0,1,,1594604974000,86.0,xUcHHNl7co,1594604974000,com.sec.android.app.shealth,1594604974000,86.0,,b0cb22c4-03cb-f427-61de-e132984efdd9,,
21301,,1594530341000,UTC+0900,86.0,1,,1594530341000,86.0,xUcHHNl7co,1594530341000,com.sec.android.app.shealth,1594530341000,86.0,,372e587e-063e-9fd8-3c2c-a97efccb8006,,
21301,,1594536121000,UTC+0900,96.0,1,,1594536121000,96.0,xUcHHNl7co,1594536121000,com.sec.android.app.shealth,1594536121000,96.0,,56ba9349-6488-bec5-ce25-fcd22abdf1fe,,
21313,,1594717860000,UTC+0900,119.0,1,,1594720799000,82.0,xUcHHNl7co,1594717200000,com.sec.android.app.shealth,1594720799000,67.0,13c17979-c837-772a-69cd-c0813f3c9ca9.com.samsung.health.heart_rate.binning_data.json,13c17979-c837-772a-69cd-c0813f3c9ca9,,
21301,,1594724996000,UTC+0900,79.0,1,,1594724996000,79.0,xUcHHNl7co,1594724996000,com.sec.android.app.shealth,1594724996000,79.0,,e1c6aa21-930f-1fb3-8dde-6d82b9408e96,,
21313,,1594609199000,UTC+0900,112.0,1,,1594609199000,82.0,xUcHHNl7co,1594605600000,com.sec.android.app.shealth,1594609199000,69.0,5efbb6d9-c8ce-e9a4-e763-bfcdef830902.com.samsung.health.heart_rate.binning_data.json,5efbb6d9-c8ce-e9a4-e763-bfcdef830902,,
21301,,1594743710000,UTC+0900,65.0,1,,1594743710000,65.0,xUcHHNl7co,1594743710000,com.sec.android.app.shealth,1594743710000,65.0,,626f85cc-a419-4804-4135-8e5c818990a2,,
21301,,1594746947000,UTC+0900,57.0,1,,1594746947000,57.0,xUcHHNl7co,1594746947000,com.sec.android.app.shealth,1594746947000,57.0,,086367f7-fbaa-be10-9af4-c3d7c6a6438c,,
21313,,1594544399000,UTC+0900,96.0,1,,1594544399000,68.0,xUcHHNl7co,1594540800000,com.sec.android.app.shealth,1594544399000,60.0,8eb3c006-f3d5-7f95-cbb9-00cf0cabea42.com.samsung.health.heart_rate.binning_data.json,8eb3c006-f3d5-7f95-cbb9-00cf0cabea42,,
21313,,1594612920000,UTC+0900,132.0,1,,1594616399000,94.0,xUcHHNl7co,1594612800000,com.sec.android.app.shealth,1594616399000,76.0,6a1cd7c4-ce9b-8f7d-369b-59cdc456128a.com.samsung.health.heart_rate.binning_data.json,6a1cd7c4-ce9b-8f7d-369b-59cdc456128a,,
21313,,1594761240000,UTC+0900,89.0,1,,1594763999000,60.0,xUcHHNl7co,1594760400000,com.sec.android.app.shealth,1594763999000,49.0,fe07ec35-bfa4-e0b2-b94b-c8f7e22f111b.com.samsung.health.heart_rate.binning_data.json,fe07ec35-bfa4-e0b2-b94b-c8f7e22f111b,,
21301,,1594550569000,UTC+0900,75.0,1,,1594550569000,75.0,xUcHHNl7co,1594550569000,com.sec.android.app.shealth,1594550569000,75.0,,d2a5b263-4235-e5f5-cb87-97e0a2e3556d,,
21301,,1594765165000,UTC+0900,59.0,1,,1594765165000,59.0,xUcHHNl7co,1594765165000,com.sec.android.app.shealth,1594765165000,59.0,,08bf4364-5a92-7ec7-87ee-7d63c507a03e,,
21301,,1594554472000,UTC+0900,79.0,1,,1594554472000,79.0,xUcHHNl7co,1594554472000,com.sec.android.app.shealth,1594554472000,79.0,,c6eb46a3-7d0e-8725-e3ab-12fde1c75936,,
21301,,1594775496000,UTC+0900,80.0,1,,1594775496000,80.0,xUcHHNl7co,1594775496000,com.sec.android.app.shealth,1594775496000,80.0,,de705df2-5c0a-2709-ca0b-e0f7764e62dd,,
21313,,1594619999000,UTC+0900,122.0,1,,1594619999000,90.0,xUcHHNl7co,1594616400000,com.sec.android.app.shealth,1594619999000,71.0,d2be7fc6-2d47-84e9-7d9f-40ee3bd749e6.com.samsung.health.heart_rate.binning_data.json,d2be7fc6-2d47-84e9-7d9f-40ee3bd749e6,,
21301,,1594780759000,UTC+0900,71.0,1,,1594780759000,71.0,xUcHHNl7co,1594780759000,com.sec.android.app.shealth,1594780759000,71.0,,71c9be2f-1c36-e7cd-dbed-a88404d40d95,,
21301,,1594789114000,UTC+0900,105.0,1,,1594789114000,105.0,xUcHHNl7co,1594789114000,com.sec.android.app.shealth,1594789114000,105.0,,0fc32544-cad8-bc8a-341b-1b191917f5e8,,
21301,,1594623577000,UTC+0900,89.0,1,,1594623577000,89.0,xUcHHNl7co,1594623577000,com.sec.android.app.shealth,1594623577000,89.0,,dbb8c520-fb1d-6193-09e2-fbd7a010e4cf,,
21301,,1594793375000,UTC+0900,88.0,1,,1594793375000,88.0,xUcHHNl7co,1594793375000,com.sec.android.app.shealth,1594793375000,88.0,,f015ce49-e9a3-8f0d-478b-5d4d71c1991f,,
21313,,1594589700000,UTC+0900,90.0,1,,1594591199000,65.0,xUcHHNl7co,1594587600000,com.sec.android.app.shealth,1594591199000,49.0,254eceb2-4fd2-346a-3558-813e7992a63b.com.samsung.health.heart_rate.binning_data.json,254eceb2-4fd2-346a-3558-813e7992a63b,,
21301,,1594799020000,UTC+0900,82.0,1,,1594799020000,82.0,xUcHHNl7co,1594799020000,com.sec.android.app.shealth,1594799020000,82.0,,ba18dc76-2f4a-c41a-3f2f-950750e4344f,,
21313,,1594559100000,UTC+0900,133.0,1,,1594562399000,78.0,xUcHHNl7co,1594558800000,com.sec.android.app.shealth,1594562399000,66.0,e3655ba3-10a8-016c-f32b-e24caaef91af.com.samsung.health.heart_rate.binning_data.json,e3655ba3-10a8-016c-f32b-e24caaef91af,,
21301,,1594565364000,UTC+0900,73.0,1,,1594565364000,73.0,xUcHHNl7co,1594565364000,com.sec.android.app.shealth,1594565364000,73.0,,892467c6-b6a3-cdf6-0b5f-af72e6bf3a2e,,
