,제품명,최저가,사이트주소,제조회사,등록년월,분류,운영체제,인프라,블루투스버전,안드로이드OS,iOS,모양,패널종류,화면크기,해상도,모바일AP,코어갯수,시스템램,내장메모리,WiFi,GPS,NFC,심박센서,가속도센서,만보기센서,자이로센서,기압센서,자외선센서,3D터치센서,나침반센서,조도센서,모션센서,걷기,달리기,자전거타기,일립티컬,로잉머신,등산,승마,수영,스키,골프,요가,보행수,이동거리,칼로리,활동시간,수면정보,심박측정,심전도,운동량,체온,고도,페이스,속도,날씨,체지방,혈압체크,여성 건강 모니터링,진동,메세지알림,SNS알림,전화알림,통화가능,음악콘트롤,스피커,마이크,카메라촬영,분실방지,생활방수,전자결제,알람시계,전용앱지원,배터리용량,사용시간,무게(본체),방수/방진,시계줄넓이,형태,적합성평가인증,안전확인인증
183,APPLE 워치 스포츠 38mm,653380,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3127559&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=3942179505&package=0&setpc=0,APPLE,201504,스마트워치,iOS(WatchOS),블루투스,,,iOS,사각형,OLED,"3.8cm(1.5"")",340x272,애플S1,,램 : 256MB,저장 : 8GB,,,○,○,○,,○,,,○,,,,,,,,,,,,,,,○,,○,○,,,,,,,,,,,,,○,,○,,,○,○,○,,,○,○,,,200mAh,평균사용:18시간,,,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
184,Withings 액티비티 팝,209000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=4414056&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1466854100&package=0&setpc=0,Withings,201609,스마트워치,,블루투스,,안드로이드OS,iOS,원형,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,,,,,○,○,,,,,평균사용:8개월이상,,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
185,Epson 런센스 Wristable SF-810B,369600,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3873781&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=3346825957&package=0&setpc=0,Epson,201603,스마트워치,,블루투스,,안드로이드OS,iOS,원형,LED,,128x64,,,,,,○,,○,,○,,○,,,,,,,,,,,,,,,,,○,○,○,○,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,평균사용:20일,52g,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
186,"APPLE 워치 42mm, 해외구매",1215000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3250735&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B304990807&package=0&setpc=0,APPLE,201504,스마트워치,iOS(WatchOS),블루투스,,,iOS,사각형,OLED,"4.2cm(1.7"")",390x312,애플S1,,램 : 256MB,저장 : 8GB,,,○,○,○,,○,,,○,,,,,,,,,,,,,,,○,,○,○,,,,,,,,,,,,,○,,○,,,○,○,○,,,○,○,,,200mAh,평균사용:18시간,,,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
187,King-Wear GV68,147000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6447913&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2179843394&package=0&setpc=0,King-Wear,201809,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,사각형,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,○,○,,○,○,,,,,,,,,,,,,,,,○,,,○,○,,,,,,,,IP68,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
188,iMacwear Sparta M7,152000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=4602788&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1377134448&package=0&setpc=0,,201610,스마트워치,안드로이드OS,블루투스,,안드로이드OS,iOS,사각형,IPS,"3.8cm(1.5"")",240x240,미디어텍 MT6572,듀얼(2)코어,램 : 512MB,저장 : 4GB,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,,○,○,,,,,,,,,,,,○,,○,,,,○,○,○,○,○,,,,600mAh,평균사용:3일,118g,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
189,삼성전자 기어S2 3G,650000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3403633&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1387894271&package=0&setpc=0,삼성전자,201511,스마트워치,타이젠OS,블루투스,,안드로이드OS,,원형,OLED,"3.0cm(1.2"")",360x360,퀄컴 스냅드래곤400,듀얼(2)코어,램 : 512MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,○,,,300mAh,평균사용:약 2일,51g,,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,MSIP-CMM-SEC-SMR750 인증번호 확인
190,U Watch U9,107210,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3097301&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=4084381788&package=0&setpc=0,U,201504,스마트워치,,블루투스,,안드로이드OS,,사각형,LCD,"2.5cm(1.0"")",,,,램 : 128MB,저장 : 64MB,○,,,,,○,○,,,,,,,,,,,,,,,,,,○,○,○,○,,,,,,,,,,,,,○,,○,,,,,,,,○,,,,,평균사용:1일이하,29g,,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
191,나이키 나이키+ 스포츠워치 GPS (WM0072-077),479000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=2432388&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=349745392&package=0&setpc=0,나이키,201401,스마트워치,,,,,,사각형,LCD,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,,,,,,,,,,,,,,,,,,○,,,,,평균사용:러닝기록시 최대 9시간,66g,,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
192,샤오미 화미 어메이즈핏 GTR Lite 47mm,일시 품절,,샤오미,202001,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,원형,AMOLED,"3.53cm(1.39"")",454x454,,,,,,,,,,,,,,,○,,,○,○,○,○,,,,○,,,,,,,,,,,,,,,,○,,,,,○,,○,,○,,,,○,○,,○,,,평균사용:15~30일,,5ATM,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
193,삼성전자 갤럭시 워치 액티브2 40mm 언더아머 에디션,일시 품절,,삼성전자,201911,스마트워치,타이젠OS,블루투스,v5.0,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.0cm(1.2"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,○,○,○,,○,,,○,,,,○,,,,○,○,○,,,,,,,,,,,,,,,,○,○,,,○,,,○,247mAh,,26g,5ATM,표준 20mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
194,APPLE 워치 시리즈4 나이키+ 40mm Cellular 알루미늄 케이스,일시 품절,,APPLE,201809,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,v12.0 이상,사각형,OLED,,324x394,애플S4,듀얼(2)코어,,저장 : 16GB,○,○,,○,○,,○,○,,,,○,,○,○,○,,,○,,○,,,○,○,○,○,○,,○,○,○,,○,○,,○,,,,,,,,○,○,,,,,,○,,○,,평균사용:1일이하,30.1g,5ATM,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
195,APPLE 워치 시리즈4 40mm Cellular 알루미늄 케이스,일시 품절,,APPLE,201809,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,v12.0 이상,사각형,OLED,,324x394,애플S4,듀얼(2)코어,,저장 : 16GB,○,○,,○,○,,○,○,,,,○,,○,○,○,,,○,,○,,,○,○,○,○,○,,○,○,○,,○,○,,○,,,,,,,,○,○,,,,,,○,,○,,평균사용:1일이하,30.1g,5ATM,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
196,APPLE 워치 시리즈4 나이키+ 44mm Cellular 알루미늄 케이스,일시 품절,,APPLE,201809,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,v12.0 이상,사각형,OLED,,368x448,애플S4,듀얼(2)코어,,저장 : 16GB,○,○,,○,○,,○,○,,,,○,,○,○,○,,,○,,○,,,○,○,○,○,○,,○,○,○,,○,○,,○,,,,,,,,○,○,,,,,,○,,○,,평균사용:1일이하,36.7g,5ATM,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
197,"삼성전자 갤럭시 워치 42mm LTE, SKT",일시 품절,,삼성전자,201808,스마트워치,타이젠OS,LTE+블루투스,v4.2,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.0cm(1.2"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 1.5GB,저장 : 4GB,○,○,○,○,○,,○,○,,,,○,,○,○,○,○,○,,,,,,,○,○,○,○,○,○,,○,,○,○,,○,,,,,,,,○,○,○,,,,,,,○,270mAh,평균사용:1일~2일,49g,5ATM,표준 20mm 시계줄,밴드분리형,R-CMM-SEC-SMR815N 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
198,APPLE 워치 시리즈3 나이키+ 42mm 알루미늄 케이스,일시 품절,,APPLE,201712,스마트워치,iOS(WatchOS),블루투스,v4.2,,v12.0 이상,사각형,OLED,,390x312,애플S3,듀얼(2)코어,램 : 768MB,저장 : 8GB,○,○,○,○,○,○,○,○,,○,,,,○,○,○,,,,,○,,,○,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,○,,,,평균사용:18시간,32.3g,,전용시계줄,밴드분리형,MSIP-CRI-APL-A1859 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
199,APPLE 워치 시리즈3 나이키+ 38mm 알루미늄 케이스,일시 품절,,APPLE,201709,스마트워치,iOS(WatchOS),블루투스,v4.2,,v12.0 이상,사각형,OLED,,340x272,애플S3,듀얼(2)코어,램 : 768MB,저장 : 8GB,○,○,○,○,○,○,○,○,,○,,,,○,○,○,,,,,○,,,○,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,○,,,,평균사용:18시간,26.7g,,전용시계줄,밴드분리형,MSIP-CRI-APL-A1858 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
200,유니콘 SH-700T,일시 품절,,유니콘,201611,스마트워치,,블루투스,,안드로이드OS,iOS,사각형,LCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,,,,,,,40g,,,밴드일체형,MSIP-CRM-Sjn-BTE008 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
